"Lac";"NO3_mg.L";"TAC_meq.L";"chla_microg.L";"pH";"conductivité_microS.cm";"pour.O2_cor";"O2_mg.L_cor"
"Grand Lac du chardonnet";0,005;NA;0,62;8,42;151;NA;NA
"Lac Achard";0,0025;0,2;13,685;7,28966666666667;16,1923076923077;107,955619666667;10,5173651847054
"Lac Benit";0;1,76;0,92;7,89;202,829545454545;87,3963632380952;8,64925388445459
"Lac Bernard";0,02;NA;0,6;7,5;32;NA;NA
"Lac Besson";0,015;0,84;1,53;6,965625;68,6386363636364;107,82563;10,7198563829566
"Lac Blanc";0,09;NA;0,67;7,68;86;NA;NA
"Lac Blanc de Polset";0,06;NA;0,12;7,98;100;NA;NA
"Lac Blanc de Termignon";0,0025;0,5;2,255;4,8575;56,0169491525424;115,444814;11,2120060803939
"Lac Blanc du Bramant";0,08;0,8;0,85;8,28333333333333;278,273333333333;80,96923;9,23867588687086
"Lac Bramant";0,04;0,85;0,62;7,78;181,746474358974;79,8968896666667;8,8142291173675
"Lac Brevent";0,00954545454545455;0,104904761857143;1,762;6,98427064395704;17,4834966503215;106,004812589253;10,504383825088
"Lac Brulet d Archeboc";0,06;NA;0,38;NA;NA;NA;NA
"Lac Carrelet";0,005;NA;3,66;7,79;66;NA;NA
"Lac Claret";0,1;NA;0,29;6,99;65;NA;NA
"Lac Cornu";0,0784210524210526;0,0444999999375;1,3725;5,8962518507403;4,80094105455948;87,264503589575;9,36279849541828
"Lac Cornu de la Forclaz";0,0333333333333333;0,73;0,593333333333333;8,40333333333333;98,2395833333333;103,71957;11,0903858888373
"Lac d Amour";0,06;NA;0,05;8,26;153;NA;NA
"Lac d Anterne";0,0638595804347826;1,5640909;0,906833333333333;7,3507895214226;168,946776685503;93,5064685037594;10,0295236779837
"Lac d Arvouin";0,03;NA;27,6;8,41;241;NA;NA
"Lac d Aumar";0,04125;0,28;1,03;8,09714285714286;30,3452380952381;101,177023238095;10,1045639181481
"Lac d Esola";0,0025;1,28;0,645;10,4546153846154;139,75;121,390796538462;12,490091904389
"Lac d Izourt";0,1037499985;0,05;1,08666666666667;7,52047619047619;13,0892857142857;100,279305;10,0149086681021
"Lac d Oursiere";0;0,22;1,61;NA;12;98,817782;10,5582201794297
"Lac David";0,04;NA;2,65;7,53;54;NA;NA
"Lac de l Arpont";0,079606;0,345;1,19;7,18801076007326;34,7305433455433;71,9122438778999;8,90675584739673
"Lac de la Corne";0,0873749995;0,212500005;7,64142857142857;8,43485154061625;22,7433211725094;99,4249896139547;10,1440504848615
"Lac de la Muzelle";0,08;0,32;2,03;8,74602067979719;67,3951510677144;101,785790160048;11,2612172119818
"Lac de la Patinoire";0,08;NA;0,07;7,78;64;NA;NA
"Lac de la Plagne";0,05;1,1;0,625;6,985;99,254716981132;106,633805;11,6321240335468
"Lac de Lessy";0,01;NA;29,28;8,57;164;NA;NA
"Lac de Petetoz";0,005;NA;4,36;8,13;179;NA;NA
"Lac de Pormenaz";0,0225;0,164029411764706;1,70625;6,80204215675249;18,7539289898599;97,6061358973609;9,74717446933072
"Lac de Rabuons";0,10322999798;0,233333336666667;1,03;7,64809523809524;44;89,139194047619;9,79367237306769
"Lac de Roche Ferran";0,02;NA;2,28;7,86;304;NA;NA
"Lac de Roy";0,05;NA;18,88;8,42;235;NA;NA
"Lac de Tardevant";0,02;NA;0,61;7,74;44;NA;NA
"Lac de Tavaneuse";0,04;NA;4,31;8,48;181;NA;NA
"Lac des Beraudes";0,03;NA;NA;7,69;118;NA;NA
"Lac des Bresses inferieur";NA;NA;2,3475;8,29104747832939;5,48731481481481;82,8939321457841;8,99274395409154
"Lac des Bresses superieur";NA;NA;4,145;8,47250634994979;4,32119572451943;83,9059282403199;9,4475802890678
"Lac des Cerces";0,06;NA;2,34;8,52;151;NA;NA
"Lac des Confins";0,005;NA;23,98;7,99;NA;NA;NA
"Lac des Evettes";0,02;NA;0,21;7,02;9;NA;NA
"Lac des Gers";0,02;NA;5,97;8,43;145;NA;NA
"Lac des Muandes";0,05;NA;0,44;7,22;40;NA;NA
"Lac des Nettes";0,04;NA;0,38;7,91;NA;NA;NA
"Lac des Pisses";NA;NA;1,65;8,81949915006932;85,9174401243023;87,2356674358597;10,0089496149389
"Lac des Sirenes";0;0,84;1,72;NA;81,4567901234568;NA;NA
"Lac du Brouffier";0,01;0,56;0,5;8,011;63,0871794871795;102,630535;10,8175447568294
"Lac du Clou";0,0025;0,48;1,145;8,305;50,2;103,958657;10,1153457676298
"Lac du Cos";0,109714284142857;0,114999995;2,29166666666667;8,11655634687893;10,3187316346034;97,9653944878482;10,3257315567505
"Lac du Grand Ban";0,03;NA;0,14;8,19;118;NA;NA
"Lac du Grattaleu";0,02;NA;0,48;8,26;258;NA;NA
"Lac du Lauzanier";NA;NA;0,47;8,41620400012755;169,662470131466;86,9067743292974;9,9506744291006
"Lac du Lauzon";0;0,6;8,48;8,22835820895522;66,0769230769231;123,183084567164;11,9658801868931
"Lac du Malrif";NA;NA;NA;8,43323076923077;168,454615384615;78,5011456153846;8,3916510500338
"Lac du Mont Charvin";0,035;1,8;1,175;8,12272727272727;130,54347826087;160,528780409091;17,691024219225
"Lac du Mont Coua";0,065678805;0,32;10,66;8,4910004822182;58,2956411585292;81,603444503918;9,32892731043087
"Lac du Pelve";0,02;NA;3,89;7,76;281;NA;NA
"Lac du Plan Vianney";NA;NA;1,2;8,05136162783225;75,2756329292223;89,007839365732;10,0981062558386
"Lac du Poursollet";0,25;0,64;0,97;7,38;63,05;98,6654552857143;10,423068540907
"Lac du Serpent";0,04;NA;1,39;7,74;68;NA;NA
"Lac Faucille";0,005;NA;8,34;7,91;81;NA;NA
"Lac fourchu";0,01;0,28;2,59;7,56384615384615;27,1355371900826;100,42345;10,351969237346
"Lac Jovet";0,102499995;0,38;1,01875;7,16603120525751;47,7442896451034;97,5807746180726;11,2523978559722
"Lac Laramon";0,03;NA;0,7;7,65;76;NA;NA
"Lac Lautier";0,03;0,35;2,07;8,75;42;112,634747;11,6081940247019
"Lac Long Col de la Vanoise";0,04;0,9;0,335;7,1409375;85,0760869565217;101,162653;10,1885340482662
"Lac Long des Ecrins";0,07;0,78;0,97;NA;81,9722222222222;117,57359;12,2547052273921
"Lac Long du Beaufortain";0,01;0,26;0,59;7,3625;23;105,920939;10,726863853195
"Lac Longet";0,04;NA;0,49;7,02;28;NA;NA
"Lac Longet du Petit St Bernard";0,01;NA;0,25;7,5;47;NA;NA
"Lac Merlet Inferieur";0,01;NA;9,28;8,46;138;NA;NA
"Lac Merlet Superieur";0,0786235;1,83000005;0,775;8,33216386554622;145,169240196078;77,0312525664629;8,70913028660482
"Lac Noir";0,0075;0,54;1,415;7,42928571428571;62,82;107,723123;10,3526032097723
"Lac Noir du Clou";0,04;NA;0,39;8,02;322;NA;NA
"Lac Petarel";NA;NA;9,31666666666667;6,79769104191646;16,2305054945055;85,0538344836772;9,12867922942711
"Lac Presset";0,07;NA;0,17;8,19;113;NA;NA
"Lac Riondet de la Forclaz";0,05;NA;1,37;7,88;92;NA;NA
"Lac Rond Col de la Vanoise";0,13;1,3;0,58;6,9464;127,597633136095;105,1285;11,1814806278383
"Lac Rond des Drayeres";0,06;NA;0,2;7,68;62;NA;NA
"Lac Rond des Rochilles";0,01;NA;1,62;NA;NA;NA;NA
"Lac Rond du Col de la Vanoise";0,08;NA;0,09;8,26;127;NA;NA
"Lac Sans Fond";0,01;NA;0,48;8,08;139;NA;NA
"Lac St Marguerite Inferieur";0,06;NA;0,31;7,93;91;NA;NA
"Lac St Marguerite Superieur";0,005;NA;0,45;7,69;71;NA;NA
"Lac Verdet de la Forclaz";0,005;1,53;1,33;9,06666666666667;142,004201680673;104,745608076923;10,8332723072006
"Lac Verdet des Aimes";0,0025;0,33;1,915;8,0725;97,406779661017;104,203053833333;10,2324141532842
"Lacs Merlat";0,09;NA;2,84;7,3;37;NA;NA
"Lacs Robert";0,009;0,24;3,63;NA;24;105,117782;11,1550113879973
"Plan du Lac";0,0325;1,52;1,945;7,798;124,235849056604;120,917458;12,6936231514523
